provider_name,course_name,unit,chapter,section,unit_structure,unit_structure_filtered,building_block_unique,media_interaction_combination,building_block_count,building_block_changes_count,building_block_unique_count,has_exercises,only_exercises,multiple_exercise_blocks,starts_with_exercise,exercises_in_middle,ends_with_exercise,v_count,a_count,t_count,e_count,d_count,p_count,h_count,choice_count,coding_count,mapping_count,essay_count,short_answer_count,video_duration,audio_duration,word_count,text_duration,exercise_duration,poll_duration,discussion_duration,interaction_duration,media_duration,unit_duration,completion_time,video_proportion,media_proportion,interaction_count,interaction_density,interaction_density_other,0_media_1_interaction_count,0_media_2_interaction_count,1_media_0_interaction_count,1_media_1_interaction_count,1_media_2_interaction_count,1_media_3_interaction_count,2_media_0_interaction_count,2_media_1_interaction_count,2_media_2_interaction_count,2_media_3_interaction_count,graphics_count,code_rows_count,table_count,multi_codal
FutureLearn,Fut-ENT,1_08,1,08,atd,atd,adt,2-media-1-interaction,3,2,3,False,False,False,False,False,False,0,1,1,0,1,0,0,0,0,0,0,0,0,114,329,180,0.0,0,300,300.0,294,594.0,708.0,0.0,0.576271186440678,1,0.5050505050505051,0.10101010101010101,0,0,0,0,0,0,0,1,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_09,1,09,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,277,120,0.0,0,300,300.0,120,420.0,420.0,0.0,0.2857142857142857,1,0.7142857142857143,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,1_10,1,10,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,425,180,0.0,0,300,300.0,180,480.0,480.0,0.0,0.375,1,0.625,0.125,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,1_11,1,11,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,329,180,0.0,0,300,300.0,180,480.0,480.0,0.0,0.375,1,0.625,0.125,0,0,0,1,0,0,0,0,0,0,1,0,1,True
FutureLearn,Fut-ENT,1_12,1,12,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,349,180,0.0,0,300,300.0,180,480.0,480.0,0.0,0.375,1,0.625,0.125,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,1_13,1,13,tvtd,tvtd,dtv,2-media-1-interaction,4,3,3,False,False,False,False,False,False,1,0,2,0,1,0,0,0,0,0,0,0,1082,0,122,60,0.0,0,300,300.0,1142,1442.0,2524.0,0.9474605954465849,0.8811410459587956,1,0.20804438280166435,0.041608876560332866,0,0,0,0,0,0,0,1,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_14,1,14,tpd,tpd,dpt,1-media-2-interaction,3,2,3,False,False,False,False,False,False,0,0,1,0,1,1,0,0,0,0,0,0,0,0,162,120,0.0,120,300,420.0,120,540.0,540.0,0.0,0.2222222222222222,2,0.7777777777777778,0.2222222222222222,0,0,0,0,1,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-ENT,1_15,1,15,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,115,60,0.0,0,300,300.0,60,360.0,360.0,0.0,0.16666666666666666,1,0.8333333333333334,0.16666666666666666,0,0,0,1,0,0,0,0,0,0,1,0,2,True
FutureLearn,Fut-ENT,1_16,1,16,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,54,60,0.0,0,300,300.0,60,360.0,360.0,0.0,0.16666666666666666,1,0.8333333333333334,0.16666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-ENT,1_17,1,17,tvtd,tvtd,dtv,2-media-1-interaction,4,3,3,False,False,False,False,False,False,1,0,2,0,1,0,0,0,0,0,0,0,180,0,58,60,0.0,0,300,300.0,240,540.0,720.0,0.75,0.5833333333333334,1,0.5555555555555556,0.1111111111111111,0,0,0,0,0,0,0,1,0,0,0,0,0,False
